源节点,目标节点,权重
0,0,0.4
1,0,0.04
3,0,0.15
4,0,0.08
5,0,0.13
6,0,0.01
7,0,0.15
8,0,0.12
10,0,0.01
11,0,0.49
12,0,0.2
13,0,0.09
17,0,0.12
21,0,0.09
0,1,0.03
1,1,0.7
3,1,0.09
7,1,0.09
13,1,0.32
17,1,0.03
19,1,0.06
21,1,0.59
0,2,0.06
1,2,0.01
2,2,1
3,2,0.09
7,2,0.16
8,2,0.16
9,2,0.28
27,2,0.08
28,2,0.22
32,2,0.12
0,3,0.07
1,3,0.02
3,3,0.36
7,3,0.45
12,3,0.13
13,3,0.17
0,4,0.02
4,4,0.76
6,4,0.1
10,4,0.65
0,5,0.04
5,5,0.59
6,5,0.1
16,5,0.01
0,6,0.05
4,6,0.11
5,6,0.1
6,6,0.68
16,6,0.33
0,7,0.03
1,7,0.06
3,7,0.16
7,7,0.15
0,8,0.05
8,8,0.4
32,8,0.06
33,8,0.08
9,9,0.24
33,9,0.02
0,10,0.01
4,10,0.05
5,10,0.08
10,10,0.34
0,11,0.04
11,11,0.51
0,12,0.06
3,12,0.12
12,12,0.67
0,13,0.07
1,13,0.04
3,13,0.03
13,13,0.12
33,13,0.04
14,14,0.13
32,14,0.07
33,14,0.07
15,15,0.32
33,15,0.04
5,16,0.1
6,16,0.11
16,16,0.66
0,17,0.01
1,17,0.03
17,17,0.85
18,18,0.55
32,18,0.06
33,18,0.02
0,19,0.03
1,19,0.05
19,19,0.85
33,19,0.09
20,20,0.38
32,20,0.12
33,20,0.06
0,21,0.01
1,21,0.05
21,21,0.32
22,22,0.35
32,22,0.04
33,22,0.08
23,23,0.17
25,23,0.25
27,23,0.2
29,23,0.46
32,23,0.01
24,24,0.83
25,24,0.3
27,24,0.04
31,24,0.01
23,25,0.26
25,25,0.34
31,25,0.03
26,26,0.55
29,26,0.05
33,26,0.03
23,27,0.17
27,27,0.58
28,28,0.52
31,28,0.04
33,28,0.05
23,29,0.14
32,29,0.05
33,29,0.01
8,30,0.03
30,30,0.99
32,30,0.11
33,30,0.1
0,31,0.02
24,31,0.17
25,31,0.11
28,31,0.05
31,31,0.91
32,31,0.04
33,31,0.02
8,32,0.06
15,32,0.03
18,32,0.4
20,32,0.36
22,32,0.61
29,32,0.23
32,32,0.21
8,33,0.23
9,33,0.48
13,33,0.3
14,33,0.87
15,33,0.65
18,33,0.05
19,33,0.09
20,33,0.26
22,33,0.04
23,33,0.26
26,33,0.45
27,33,0.1
28,33,0.21
29,33,0.26
30,33,0.01
31,33,0.01
32,33,0.11
33,33,0.29
